"","from_gene","Mus_musculus","Homo_sapiens","to_symbol"
"Capza2","Capza2","12343",830,"CAPZA2"
"Capza3","Capza3","12344",93661,"CAPZA3"
"Capzb","Capzb","12345",832,"CAPZB"
"Car1","Car1","12346",759,"CA1"
"Car11","Car11","12348",770,"CA11"
"Car2","Car2","12349",760,"CA2"
"Car3","Car3","12350",761,"CA3"
"Car4","Car4","12351",762,"CA4"
"Car5a","Car5a","12352",763,"CA5A"
"Car6","Car6","12353",765,"CA6"
"Car7","Car7","12354",766,"CA7"
"Nr1i3","Nr1i3","12355",9970,"NR1I3"
"Cat","Cat","12359",847,"CAT"
"Cask","Cask","12361",8573,"CASK"
"Casp1","Casp1","12362",NA,NA
"Casp4","Casp4","12363",NA,NA
"Casp12","Casp12","12364",NA,NA
"Casp14","Casp14","12365",23581,"CASP14"
"Casp2","Casp2","12366",835,"CASP2"
"Casp3","Casp3","12367",836,"CASP3"
"Casp6","Casp6","12368",839,"CASP6"
"Casp7","Casp7","12369",840,"CASP7"
"Casp8","Casp8","12370",841,"CASP8"
"Casp9","Casp9","12371",842,"CASP9"
"Casq1","Casq1","12372",844,"CASQ1"
"Casq2","Casq2","12373",845,"CASQ2"
"Casr","Casr","12374",846,"CASR"
"Cast","Cast","12380",831,"CAST"
"Ctnna1","Ctnna1","12385",1495,"CTNNA1"
"Ctnna2","Ctnna2","12386",1496,"CTNNA2"
"Ctnnb1","Ctnnb1","12387",1499,"CTNNB1"
"Ctnnd1","Ctnnd1","12388",1500,"CTNND1"
"Cav1","Cav1","12389",857,"CAV1"
"Cav2","Cav2","12390",858,"CAV2"
"Cav3","Cav3","12391",859,"CAV3"
"Runx2","Runx2","12393",860,"RUNX2"
"Runx1","Runx1","12394",861,"RUNX1"
"Runx1t1","Runx1t1","12395",862,"RUNX1T1"
"Cbfa2t2","Cbfa2t2","12396",9139,"CBFA2T2"
"Cbfa2t2-ps1","Cbfa2t2-ps1","12397",NA,NA
"Cbfa2t3","Cbfa2t3","12398",863,"CBFA2T3"
"Runx3","Runx3","12399",864,"RUNX3"
"Cbfb","Cbfb","12400",865,"CBFB"
"Serpina6","Serpina6","12401",866,"SERPINA6"
"Cbl","Cbl","12402",867,"CBL"
"Cbln1","Cbln1","12404",869,"CBLN1"
"Cbln2","Cbln2","12405",147381,"CBLN2"
"Serpinh1","Serpinh1","12406",871,"SERPINH1"
"Cbr1","Cbr1","12408",873,"CBR1"
"Cbr2","Cbr2","12409",NA,NA
"Cbs","Cbs","12411",875,"CBS"
"Cbx1","Cbx1","12412",10951,"CBX1"
"Cbx2","Cbx2","12416",84733,"CBX2"
"Cbx3","Cbx3","12417",11335,"CBX3"
"Cbx4","Cbx4","12418",8535,"CBX4"
"Cbx5","Cbx5","12419",23468,"CBX5"
"cby","cby","12420",NA,NA
"Rb1cc1","Rb1cc1","12421",9821,"RB1CC1"
"Cck","Cck","12424",885,"CCK"
"Cckar","Cckar","12425",886,"CCKAR"
"Cckbr","Cckbr","12426",887,"CCKBR"
"Ccna1","Ccna1","12427",8900,"CCNA1"
"Ccna2","Ccna2","12428",890,"CCNA2"
"Ccnb2","Ccnb2","12442",9133,"CCNB2"
"Ccnd1","Ccnd1","12443",595,"CCND1"
"Ccnd2","Ccnd2","12444",894,"CCND2"
"Ccnd3","Ccnd3","12445",896,"CCND3"
"Ccne1","Ccne1","12447",898,"CCNE1"
"Ccne2","Ccne2","12448",9134,"CCNE2"
"Ccnf","Ccnf","12449",899,"CCNF"
"Ccng1","Ccng1","12450",900,"CCNG1"
"Ccng2","Ccng2","12452",901,"CCNG2"
"Ccni","Ccni","12453",10983,"CCNI"
"Ccnk","Ccnk","12454",8812,"CCNK"
"Ccnt1","Ccnt1","12455",904,"CCNT1"
"Ccpn-ps","Ccpn-ps","12456",NA,NA
"Noct","Noct","12457",25819,"NOCT"
"Ccr6","Ccr6","12458",1235,"CCR6"
"Ccs","Ccs","12460",9973,"CCS"
"Cct2","Cct2","12461",10576,"CCT2"
"Cct3","Cct3","12462",7203,"CCT3"
"Cct4","Cct4","12464",10575,"CCT4"
"Cct5","Cct5","12465",22948,"CCT5"
"Cct6a","Cct6a","12466",908,"CCT6A"
"Cct6b","Cct6b","12467",10693,"CCT6B"
"Cct7","Cct7","12468",10574,"CCT7"
"Cct8","Cct8","12469",10694,"CCT8"
"Cd14","Cd14","12475",929,"CD14"
"Cd151","Cd151","12476",977,"CD151"
"Ctla4","Ctla4","12477",1493,"CTLA4"
"Cd19","Cd19","12478",930,"CD19"
"Cd1d1","Cd1d1","12479",912,"CD1D"
"Cd1d2","Cd1d2","12480",NA,NA
"Cd2","Cd2","12481",914,"CD2"
"Ms4a1","Ms4a1","12482",931,"MS4A1"
"Cd22","Cd22","12483",933,"CD22"
"Cd24a","Cd24a","12484",100133941,"CD24"
"Cd28","Cd28","12487",940,"CD28"
"Cd2ap","Cd2ap","12488",23607,"CD2AP"
"Cd33","Cd33","12489",945,"CD33"
"Cd34","Cd34","12490",947,"CD34"
"Cd36","Cd36","12491",948,"CD36"
"Scarb2","Scarb2","12492",950,"SCARB2"
"Cd37","Cd37","12493",951,"CD37"
"Cd38","Cd38","12494",952,"CD38"
"Entpd1","Entpd1","12495",953,"ENTPD1"
"Entpd2","Entpd2","12496",954,"ENTPD2"
"Entpd6","Entpd6","12497",955,"ENTPD6"
"Entpd5","Entpd5","12499",957,"ENTPD5"
"Cd3d","Cd3d","12500",915,"CD3D"
"Cd3e","Cd3e","12501",916,"CD3E"
"Cd3g","Cd3g","12502",917,"CD3G"
"Cd247","Cd247","12503",919,"CD247"
"Cd4","Cd4","12504",920,"CD4"
"Cd44","Cd44","12505",960,"CD44"
"Cd48","Cd48","12506",962,"CD48"
"Cd5","Cd5","12507",921,"CD5"
"Cd53","Cd53","12508",963,"CD53"
"Cd59a","Cd59a","12509",NA,NA
"Cd6","Cd6","12511",923,"CD6"
"Cd63","Cd63","12512",967,"CD63"
"Cd68","Cd68","12514",968,"CD68"
"Cd69","Cd69","12515",NA,NA
"Cd7","Cd7","12516",924,"CD7"
"Cd72","Cd72","12517",971,"CD72"
"Cd79a","Cd79a","12518",973,"CD79A"
"Cd80","Cd80","12519",941,"CD80"
"Cd81","Cd81","12520",975,"CD81"
"Cd82","Cd82","12521",3732,"CD82"
"Cd83","Cd83","12522",9308,"CD83"
"Cd84","Cd84","12523",8832,"CD84"
"Cd86","Cd86","12524",942,"CD86"
"Cd8a","Cd8a","12525",925,"CD8A"
"Cd8b1","Cd8b1","12526",926,"CD8B"
"Cd9","Cd9","12527",928,"CD9"
"Cdc25a","Cdc25a","12530",993,"CDC25A"
"Cdc25b","Cdc25b","12531",994,"CDC25B"
"Cdc25c","Cdc25c","12532",995,"CDC25C"
"Cdk1","Cdk1","12534",983,"CDK1"
"Cdk11b","Cdk11b","12537",984,"CDK11B"
"Cdc37","Cdc37","12539",11140,"CDC37"
"Cdc42","Cdc42","12540",998,"CDC42"
"Cdc45","Cdc45","12544",8318,"CDC45"
"Cdc7","Cdc7","12545",8317,"CDC7"
"Arhgap31","Arhgap31","12549",57514,"ARHGAP31"
"Cdh1","Cdh1","12550",999,"CDH1"
"Cdh11","Cdh11","12552",1009,"CDH11"
"Cdh13","Cdh13","12554",1012,"CDH13"
"Cdh15","Cdh15","12555",1013,"CDH15"
"Cdh16","Cdh16","12556",1014,"CDH16"
"Cdh17","Cdh17","12557",1015,"CDH17"
"Cdh2","Cdh2","12558",1000,"CDH2"
"Cdh3","Cdh3","12560",1001,"CDH3"
"Cdh4","Cdh4","12561",1002,"CDH4"
"Cdh5","Cdh5","12562",1003,"CDH5"
"Cdh6","Cdh6","12563",1004,"CDH6"
"Cdh8","Cdh8","12564",1006,"CDH8"
"Cdh9","Cdh9","12565",1007,"CDH9"
"Cdk2","Cdk2","12566",1017,"CDK2"
"Cdk4","Cdk4","12567",1019,"CDK4"
"Cdk5","Cdk5","12568",1020,"CDK5"
"Cdk5r1","Cdk5r1","12569",8851,"CDK5R1"
"Cdk5r2","Cdk5r2","12570",8941,"CDK5R2"
"Cdk6","Cdk6","12571",1021,"CDK6"
"Cdk7","Cdk7","12572",1022,"CDK7"
"Cdkn1a","Cdkn1a","12575",1026,"CDKN1A"
"Cdkn1b","Cdkn1b","12576",1027,"CDKN1B"
"Cdkn1c","Cdkn1c","12577",1028,"CDKN1C"
"Cdkn2a","Cdkn2a","12578",NA,NA
"Cdkn2b","Cdkn2b","12579",1030,"CDKN2B"
"Cdkn2c","Cdkn2c","12580",1031,"CDKN2C"
"Cdkn2d","Cdkn2d","12581",1032,"CDKN2D"
"cdm","cdm","12582",NA,NA
"Cdo1","Cdo1","12583",1036,"CDO1"
"Cdr2","Cdr2","12585",1039,"CDR2"
"Mia","Mia","12587",8190,"MIA"
"Ift81","Ift81","12589",28981,"IFT81"
"Cdx1","Cdx1","12590",1044,"CDX1"
"Cdx2","Cdx2","12591",1045,"CDX2"
"Cdx4","Cdx4","12592",1046,"CDX4"
"Cdyl","Cdyl","12593",9425,"CDYL"
"Cebpa","Cebpa","12606",1050,"CEBPA"
"Cebpz","Cebpz","12607",10153,"CEBPZ"
"Cebpb","Cebpb","12608",1051,"CEBPB"
"Cebpd","Cebpd","12609",1052,"CEBPD"
"Cebpg","Cebpg","12611",1054,"CEBPG"
"Cel","Cel","12613",1056,"CEL"
"Celsr1","Celsr1","12614",9620,"CELSR1"
"Cenpa","Cenpa","12615",1058,"CENPA"
"Cenpb","Cenpb","12616",1059,"CENPB"
"Cenpc1","Cenpc1","12617",1060,"CENPC"
"Cer1","Cer1","12622",9350,"CER1"
"Ces1g","Ces1g","12623",NA,NA
"Cet1","Cet1","12624",NA,NA
"Cetn3","Cetn3","12626",1070,"CETN3"
"Cfc1","Cfc1","12627",NA,NA
"Cfh","Cfh","12628",3075,"CFH"
"Cfi","Cfi","12630",3426,"CFI"
"Cfl1","Cfl1","12631",1072,"CFL1"
"Cfl2","Cfl2","12632",1073,"CFL2"
"Cflar","Cflar","12633",8837,"CFLAR"
"Cftr","Cftr","12638",1080,"CFTR"
"Cga","Cga","12640",1081,"CGA"
"Ch25h","Ch25h","12642",9023,"CH25H"
"Chad","Chad","12643",1101,"CHAD"
"Chat","Chat","12647",1103,"CHAT"
"Chd1","Chd1","12648",1105,"CHD1"
"Chek1","Chek1","12649",1111,"CHEK1"
"Chkb","Chkb","12651",1120,"CHKB"
"Chga","Chga","12652",1113,"CHGA"
"Chgb","Chgb","12653",1114,"CHGB"
"Chil1","Chil1","12654",1116,"CHI3L1"
"Chil3","Chil3","12655",NA,NA
"Ovgp1","Ovgp1","12659",5016,"OVGP1"
"Chka","Chka","12660",1119,"CHKA"
"Chl1","Chl1","12661",10752,"CHL1"
"Chm","Chm","12662",1121,"CHM"
"Chml","Chml","12663",1122,"CHML"
"Chrd","Chrd","12667",8646,"CHRD"
"Chrm1","Chrm1","12669",1128,"CHRM1"
"Chrm3","Chrm3","12671",1131,"CHRM3"
"Chrm4","Chrm4","12672",1132,"CHRM4"
"Chuk","Chuk","12675",1147,"CHUK"
"Vsx2","Vsx2","12677",338917,"VSX2"
"ci","ci","12679",NA,NA
"Cidea","Cidea","12683",1149,"CIDEA"
"Cideb","Cideb","12684",27141,"CIDEB"
"Elovl3","Elovl3","12686",83401,"ELOVL3"
"Patj","Patj","12695",10207,"PATJ"
"Cirbp","Cirbp","12696",1153,"CIRBP"
"Cish","Cish","12700",1154,"CISH"
"Socs3","Socs3","12702",9021,"SOCS3"
"Socs1","Socs1","12703",8651,"SOCS1"
"Cit","Cit","12704",11113,"CIT"
"Cited1","Cited1","12705",4435,"CITED1"
"Ckb-ps2","Ckb-ps2","12706",NA,NA
"Ck-ps2","Ck-ps2","12707",NA,NA
"Ck-ps3","Ck-ps3","12708",NA,NA
"Ckb","Ckb","12709",1152,"CKB"
"Ckm","Ckm","12715",1158,"CKM"
"Ckmt1","Ckmt1","12716",1159,"CKMT1B"
"ckr","ckr","12717",NA,NA
"ckrtgr","ckrtgr","12718",NA,NA
"cla","cla","12720",NA,NA
"Coro1a","Coro1a","12721",11151,"CORO1A"
"Clca3a1","Clca3a1","12722",NA,NA
"Clcn1","Clcn1","12723",1180,"CLCN1"
"Clcn2","Clcn2","12724",1181,"CLCN2"
"Clcn3","Clcn3","12725",1182,"CLCN3"
"Clcn4","Clcn4","12727",1183,"CLCN4"
"Clcn5","Clcn5","12728",1184,"CLCN5"
"Clns1a","Clns1a","12729",1207,"CLNS1A"
"Clcnka","Clcnka","12733",NA,NA
"Cldn1","Cldn1","12737",9076,"CLDN1"
"Cldn2","Cldn2","12738",9075,"CLDN2"
"Cldn3","Cldn3","12739",1365,"CLDN3"
"Cldn4","Cldn4","12740",1364,"CLDN4"
"Cldn5","Cldn5","12741",7122,"CLDN5"
"clf2","clf2","12744",NA,NA
"Clgn","Clgn","12745",1047,"CLGN"
"Clk1","Clk1","12747",1195,"CLK1"
"Clk2","Clk2","12748",1196,"CLK2"
"Clk4","Clk4","12750",57396,"CLK4"
"Tpp1","Tpp1","12751",1200,"TPP1"
"Cln3","Cln3","12752",1201,"CLN3"
"Clock","Clock","12753",9575,"CLOCK"
"Clta","Clta","12757",1211,"CLTA"
"Clu","Clu","12759",1191,"CLU"
"cma","cma","12761",NA,NA
"Cmah","Cmah","12763",NA,NA
"Cmas","Cmas","12764",55907,"CMAS"
"Cxcr2","Cxcr2","12765",3579,"CXCR2"
"Cxcr3","Cxcr3","12766",2833,"CXCR3"
"Cxcr4","Cxcr4","12767",7852,"CXCR4"
"Ccr1","Ccr1","12768",1230,"CCR1"
"Ccr9","Ccr9","12769",10803,"CCR9"
"Ccr1l1","Ccr1l1","12770",NA,NA
"Ccr3","Ccr3","12771",1232,"CCR3"
"Ccr2","Ccr2","12772",729230,"CCR2"
"Ccr4","Ccr4","12773",1233,"CCR4"
"Ccr5","Ccr5","12774",NA,NA
"Ccr7","Ccr7","12775",1236,"CCR7"
"Ccr8","Ccr8","12776",1237,"CCR8"
"Ccr10","Ccr10","12777",2826,"CCR10"
"Ackr3","Ackr3","12778",57007,"ACKR3"
"Abcc2","Abcc2","12780",1244,"ABCC2"
"Cnbp","Cnbp","12785",7555,"CNBP"
"Cnga1","Cnga1","12788",1259,"CNGA1"
"Cnga2","Cnga2","12789",1260,"CNGA2"
"Cnga3","Cnga3","12790",1261,"CNGA3"
"Cnih1","Cnih1","12793",10175,"CNIH1"
"Cnih2","Cnih2","12794",254263,"CNIH2"
"Plk3","Plk3","12795",1263,"PLK3"
"Camp","Camp","12796",820,"CAMP"
"Cnn1","Cnn1","12797",1264,"CNN1"
"Cnn2","Cnn2","12798",1265,"CNN2"
"Cnp","Cnp","12799",1267,"CNP"
"Cnr1","Cnr1","12801",1268,"CNR1"
"Cnr2","Cnr2","12802",1269,"CNR2"
"Cntf","Cntf","12803",1270,"CNTF"
"Cntfr","Cntfr","12804",1271,"CNTFR"
"Cntn1","Cntn1","12805",1272,"CNTN1"
"co","co","12806",NA,NA
"Hps3","Hps3","12807",84343,"HPS3"
"Cobl","Cobl","12808",23242,"COBL"
"Coch","Coch","12810",1690,"COCH"
"cod","cod","12811",NA,NA
"Coil","Coil","12812",8161,"COIL"
"Col10a1","Col10a1","12813",1300,"COL10A1"
"Col11a1","Col11a1","12814",1301,"COL11A1"
"Col11a2","Col11a2","12815",1302,"COL11A2"
"Col12a1","Col12a1","12816",1303,"COL12A1"
"Col13a1","Col13a1","12817",1305,"COL13A1"
"Col14a1","Col14a1","12818",7373,"COL14A1"
"Col15a1","Col15a1","12819",1306,"COL15A1"
"Col17a1","Col17a1","12821",1308,"COL17A1"
"Col18a1","Col18a1","12822",80781,"COL18A1"
"Col19a1","Col19a1","12823",1310,"COL19A1"
"Col2a1","Col2a1","12824",1280,"COL2A1"
"Col3a1","Col3a1","12825",1281,"COL3A1"
"Col4a1","Col4a1","12826",1282,"COL4A1"
"Col4a2","Col4a2","12827",1284,"COL4A2"
"Col4a3","Col4a3","12828",1285,"COL4A3"
"Col4a4","Col4a4","12829",1286,"COL4A4"
"Col4a5","Col4a5","12830",1287,"COL4A5"
"Col5a1","Col5a1","12831",1289,"COL5A1"
"Col5a2","Col5a2","12832",1290,"COL5A2"
"Col6a1","Col6a1","12833",1291,"COL6A1"
"Col6a2","Col6a2","12834",1292,"COL6A2"
"Col6a3","Col6a3","12835",1293,"COL6A3"
"Col7a1","Col7a1","12836",1294,"COL7A1"
"Col8a1","Col8a1","12837",1295,"COL8A1"
"Col9a1","Col9a1","12839",1297,"COL9A1"
"Col9a2","Col9a2","12840",1298,"COL9A2"
"Col9a3","Col9a3","12841",1299,"COL9A3"
"Col1a1","Col1a1","12842",1277,"COL1A1"
"Col1a2","Col1a2","12843",1278,"COL1A2"
"Comp","Comp","12845",1311,"COMP"
"Comt","Comt","12846",1312,"COMT"
"Copa","Copa","12847",1314,"COPA"
"Cops2","Cops2","12848",9318,"COPS2"
"Coq7","Coq7","12850",10229,"COQ7"
"Cort","Cort","12854",1325,"CORT"
"Cox17","Cox17","12856",10063,"COX17"
"Cox4i1","Cox4i1","12857",1327,"COX4I1"
"Cox5a","Cox5a","12858",9377,"COX5A"
"Cox5b","Cox5b","12859",1329,"COX5B"
"Cox6a1","Cox6a1","12861",1337,"COX6A1"
"Cox6a2","Cox6a2","12862",1339,"COX6A2"
"Cox6c","Cox6c","12864",1345,"COX6C"
"Cox7a1","Cox7a1","12865",1346,"COX7A1"
"Cox7a2","Cox7a2","12866",1347,"COX7A2"
"Cox7c","Cox7c","12867",1350,"COX7C"
"Cox8a","Cox8a","12868",1351,"COX8A"
"Cox8b","Cox8b","12869",NA,NA
"Cp","Cp","12870",1356,"CP"
"Cpa3","Cpa3","12873",1359,"CPA3"
"Cpd","Cpd","12874",1362,"CPD"
"Cpe","Cpe","12876",1363,"CPE"
"Cpeb1","Cpeb1","12877",64506,"CPEB1"
"Cys1","Cys1","12879",192668,"CYS1"
"Cplx1","Cplx1","12889",10815,"CPLX1"
"Cplx2","Cplx2","12890",10814,"CPLX2"
"Cpne6","Cpne6","12891",9362,"CPNE6"
"Cpox","Cpox","12892",1371,"CPOX"
"Cpt1a","Cpt1a","12894",1374,"CPT1A"
"Cpt1b","Cpt1b","12895",1375,"CPT1B"
"Cpt2","Cpt2","12896",1376,"CPT2"
"cpy","cpy","12898",NA,NA
"Cr2","Cr2","12902",1380,"CR2"
"Crabp1","Crabp1","12903",1381,"CRABP1"
"Crabp2","Crabp2","12904",1382,"CRABP2"
"Cradd","Cradd","12905",8738,"CRADD"
"Crat","Crat","12908",1384,"CRAT"
"Crcp","Crcp","12909",27297,"CRCP"
"Creb1","Creb1","12912",1385,"CREB1"
"Creb3","Creb3","12913",10488,"CREB3"
"Crebbp","Crebbp","12914",1387,"CREBBP"
"Atf6b","Atf6b","12915",1388,"ATF6B"
"Crem","Crem","12916",1390,"CREM"
"crf","crf","12917",NA,NA
"Crh","Crh","12918",1392,"CRH"
"Crhbp","Crhbp","12919",1393,"CRHBP"
"Crhr1","Crhr1","12921",1394,"CRHR1"
"Crhr2","Crhr2","12922",1395,"CRHR2"
"crhx","crhx","12923",NA,NA
"cri","cri","12924",NA,NA
"Crip1","Crip1","12925",1396,"CRIP1"
"Bcar1","Bcar1","12927",9564,"BCAR1"
"Crk","Crk","12928",1398,"CRK"
"Crkl","Crkl","12929",1399,"CRKL"
"Crlf1","Crlf1","12931",9244,"CRLF1"
"Crmp1","Crmp1","12933",1400,"CRMP1"
"Dpysl2","Dpysl2","12934",1808,"DPYSL2"
"crn","crn","12935",NA,NA
"Pcdha4","Pcdha4","12936",56144,"PCDHA4"
"Pcdha6","Pcdha6","12937",56142,"PCDHA6"
"Pcdha7","Pcdha7","12939",56141,"PCDHA7"
"Pcdha5","Pcdha5","12941",56143,"PCDHA5"
"Pcdha11","Pcdha11","12942",56138,"PCDHA11"
"Pcdha10","Pcdha10","12943",56139,"PCDHA10"
"Crp","Crp","12944",1401,"CRP"
"Dmbt1","Dmbt1","12945",1755,"DMBT1"
"Cr1l","Cr1l","12946",1379,"CR1L"
"crsp","crsp","12948",NA,NA
"Hapln1","Hapln1","12950",1404,"HAPLN1"
"Crx","Crx","12951",1406,"CRX"
"Cry1","Cry1","12952",1407,"CRY1"
"Cry2","Cry2","12953",1408,"CRY2"
"Cryaa","Cryaa","12954",1409,"CRYAA"
"Cryab","Cryab","12955",1410,"CRYAB"
"Cryba1","Cryba1","12957",1411,"CRYBA1"
"Cryba2","Cryba2","12958",1412,"CRYBA2"
"Cryba4","Cryba4","12959",1413,"CRYBA4"
"Crybb1","Crybb1","12960",1414,"CRYBB1"
"Crybb2","Crybb2","12961",1415,"CRYBB2"
"Crybb3","Crybb3","12962",1417,"CRYBB3"
"Cryga","Cryga","12964",NA,NA
"Crygb","Crygb","12965",NA,NA
"Crygc","Crygc","12966",NA,NA
"Crygd","Crygd","12967",NA,NA
"Cryge","Cryge","12968",NA,NA
"Crygf","Crygf","12969",NA,NA
"Crygs","Crygs","12970",1427,"CRYGS"
"Crym","Crym","12971",1428,"CRYM"
"Cryz","Cryz","12972",1429,"CRYZ"
"crz","crz","12973",NA,NA
"Cs","Cs","12974",1431,"CS"
"Csf1","Csf1","12977",1435,"CSF1"
"Csf1r","Csf1r","12978",1436,"CSF1R"
"Csf1r-ps","Csf1r-ps","12979",NA,NA
"Csf2","Csf2","12981",1437,"CSF2"
"Csf2ra","Csf2ra","12982",NA,NA
"Csf2rb","Csf2rb","12983",1439,"CSF2RB"
"Csf2rb2","Csf2rb2","12984",NA,NA
"Csf3","Csf3","12985",1440,"CSF3"
"Csf3r","Csf3r","12986",1441,"CSF3R"
"Csk","Csk","12988",1445,"CSK"
"Csn1s1","Csn1s1","12990",1446,"CSN1S1"
"Csn2","Csn2","12991",1447,"CSN2"
"Csn1s2b","Csn1s2b","12992",NA,NA
"Csn1s2a","Csn1s2a","12993",NA,NA
"Csn3","Csn3","12994",1448,"CSN3"
"Csnk2a1","Csnk2a1","12995",1457,"CSNK2A1"
"Csnk2a2","Csnk2a2","13000",1459,"CSNK2A2"
"Csnk2b","Csnk2b","13001",1460,"CSNK2B"
"Dnajc5","Dnajc5","13002",80331,"DNAJC5"
"Vcan","Vcan","13003",1462,"VCAN"
"Ncan","Ncan","13004",1463,"NCAN"
"Smc3","Smc3","13006",9126,"SMC3"
"Csrp1","Csrp1","13007",1465,"CSRP1"
"Csrp2","Csrp2","13008",1466,"CSRP2"
"Csrp3","Csrp3","13009",8048,"CSRP3"
"Cst3","Cst3","13010",1471,"CST3"
"Cst7","Cst7","13011",8530,"CST7"
"Cst8","Cst8","13012",10047,"CST8"
"Cst9","Cst9","13013",NA,NA
"Cstb","Cstb","13014",1476,"CSTB"
"Ctbp1","Ctbp1","13016",1487,"CTBP1"
"Ctbp2","Ctbp2","13017",1488,"CTBP2"
"Ctcf","Ctcf","13018",10664,"CTCF"
"Ctf1","Ctf1","13019",1489,"CTF1"
"Ctla2a","Ctla2a","13024",NA,NA
"Ctla2b","Ctla2b","13025",NA,NA
"Pcyt1a","Pcyt1a","13026",5130,"PCYT1A"
"Ctsb","Ctsb","13030",1508,"CTSB"
"Ctsc","Ctsc","13032",1075,"CTSC"
"Ctsd","Ctsd","13033",1509,"CTSD"
"Ctse","Ctse","13034",1510,"CTSE"
"Ctsg","Ctsg","13035",1511,"CTSG"
"Ctsh","Ctsh","13036",1512,"CTSH"
"Ctsk","Ctsk","13038",1513,"CTSK"
"Ctsl","Ctsl","13039",1515,"CTSV"
"Ctss","Ctss","13040",1520,"CTSS"
"Ctsw","Ctsw","13041",1521,"CTSW"
"Cttn","Cttn","13043",2017,"CTTN"
"Celf1","Celf1","13046",10658,"CELF1"
"Cux1","Cux1","13047",1523,"CUX1"
"Cux2","Cux2","13048",23316,"CUX2"
"cx","cx","13050",NA,NA
"Cx3cr1","Cx3cr1","13051",1524,"CX3CR1"
"Cxadr","Cxadr","13052",1525,"CXADR"
"cy","cy","13055",NA,NA
"Cyb561","Cyb561","13056",1534,"CYB561"
"Cyba","Cyba","13057",1535,"CYBA"
"Cybb","Cybb","13058",1536,"CYBB"
"Cycs","Cycs","13063",54205,"CYCS"
"Cycs-ps1","Cycs-ps1","13064",NA,NA
"Cycs-ps2","Cycs-ps2","13065",NA,NA
"Cycs-ps3","Cycs-ps3","13066",NA,NA
"Cyct","Cyct","13067",NA,NA
"Cyp11a1","Cyp11a1","13070",1583,"CYP11A1"
"Cyp11b2","Cyp11b2","13072",1585,"CYP11B2"
"Cyp17a1","Cyp17a1","13074",1586,"CYP17A1"
"Cyp19a1","Cyp19a1","13075",1588,"CYP19A1"
"Cyp1a1","Cyp1a1","13076",1543,"CYP1A1"
"Cyp1a2","Cyp1a2","13077",NA,NA
"Cyp1b1","Cyp1b1","13078",1545,"CYP1B1"
"Cyp21a1","Cyp21a1","13079",1589,"CYP21A2"
"Cyp24a1","Cyp24a1","13081",1591,"CYP24A1"
"Cyp26a1","Cyp26a1","13082",1592,"CYP26A1"
"Cyp2a12","Cyp2a12","13085",NA,NA
"Cyp2a4","Cyp2a4","13086",NA,NA
"Cyp2a5","Cyp2a5","13087",NA,NA
"Cyp2b10","Cyp2b10","13088",NA,NA
"Cyp2b13","Cyp2b13","13089",NA,NA
"Cyp2b19","Cyp2b19","13090",NA,NA
"Cyp2b9","Cyp2b9","13094",NA,NA
"Cyp2c29","Cyp2c29","13095",NA,NA
"Cyp2c37","Cyp2c37","13096",NA,NA
"Cyp2c38","Cyp2c38","13097",NA,NA
"Cyp2c39","Cyp2c39","13098",NA,NA
"Cyp2c40","Cyp2c40","13099",NA,NA
"Cyp2d10","Cyp2d10","13101",NA,NA
"Cyp2d9","Cyp2d9","13105",NA,NA
"Cyp2e1","Cyp2e1","13106",1571,"CYP2E1"
"Cyp2f2","Cyp2f2","13107",1572,"CYP2F1"
"Cyp2g1","Cyp2g1","13108",NA,NA
"Cyp2j5","Cyp2j5","13109",NA,NA
"Cyp2j6","Cyp2j6","13110",NA,NA
"Cyp3a11","Cyp3a11","13112",NA,NA
"Cyp3a13","Cyp3a13","13113",NA,NA
"Cyp3a16","Cyp3a16","13114",NA,NA
"Cyp27b1","Cyp27b1","13115",1594,"CYP27B1"
"Cyp46a1","Cyp46a1","13116",10858,"CYP46A1"
"Cyp4a10","Cyp4a10","13117",NA,NA
"Cyp4a12b","Cyp4a12b","13118",NA,NA
"Cyp4a14","Cyp4a14","13119",NA,NA
"Cyp4b1","Cyp4b1","13120",1580,"CYP4B1"
"Cyp51","Cyp51","13121",1595,"CYP51A1"
"Cyp7a1","Cyp7a1","13122",1581,"CYP7A1"
"Cyp7b1","Cyp7b1","13123",9420,"CYP7B1"
"Cyp8b1","Cyp8b1","13124",1582,"CYP8B1"
"da","da","13130",NA,NA
"Dab1","Dab1","13131",1600,"DAB1"
"Dab2","Dab2","13132",1601,"DAB2"
"Dach1","Dach1","13134",1602,"DACH1"
"Dad1","Dad1","13135",1603,"DAD1"
"Cd55","Cd55","13136",1604,"CD55"
"Cd55b","Cd55b","13137",NA,NA
"Dag1","Dag1","13138",1605,"DAG1"
"Dgka","Dgka","13139",1606,"DGKA"
"Dao","Dao","13142",1610,"DAO"
"Dapk2","Dapk2","13143",23604,"DAPK2"
"Dapk3","Dapk3","13144",1613,"DAPK3"
"Slc6a3","Slc6a3","13162",6531,"SLC6A3"
"Daxx","Daxx","13163",1616,"DAXX"
"Dazl","Dazl","13164",1618,"DAZL"
"Dbh","Dbh","13166",1621,"DBH"
"Dbi","Dbi","13167",1622,"DBI"
"Dbil5","Dbil5","13168",NA,NA
"Dbnl","Dbnl","13169",28988,"DBNL"
"Dbp","Dbp","13170",1628,"DBP"
"Dbt","Dbt","13171",1629,"DBT"
